name,id,Skill,Element,Type,Target,Power,Accuracy,MPCost,StatusEffect,statusEffectChance,TargetCondition,PassiveOrCondition,Description
Taliesin,enemy_080,Ancient Wisdom,None,Passive,Self,0,0,0,None,0,,MP Regen 5%,고대의 지혜
Mummy,enemy_081,Curse Bandage,Dark,Attack,Single_Enemy,150,95,8,Bind,30,,,붕대 저주
Mummy,enemy_081,Ancient Curse,Dark,Debuff,Single_Enemy,0,100,9,Poison,40,,,고대의 저주
Mummy,enemy_081,Eternal Corpse,None,Passive,Self,0,0,0,None,0,,Poison Immune,영원한 미라
Cathbad,enemy_082,Druid Staff,Holy,Attack,Single_Enemy,170,100,9,None,0,,,드루이드의 지팡이
Cathbad,enemy_082,Prophecy,Holy,Buff,All_Allies,0,100,10,None,0,First Turn,ACC +2,예언
Cathbad,enemy_082,Archdruid,None,Passive,Self,0,0,0,None,0,,Holy Damage +20%,대드루이드
Shadowblade,enemy_083,Shadow Strike,Dark,Attack,Single_Enemy,185,100,10,Critical,20,,,그림자 일격
Shadowblade,enemy_083,Dark Mist,Dark,Debuff,All_Enemies,0,100,10,Blind,35,,,암흑 장막
Shadowblade,enemy_083,Living Shadow,None,Passive,Self,0,0,0,None,0,,Evasion +20%,살아있는 그림자
Medusa,enemy_084,Petrifying Gaze,Dark,Debuff,Single_Enemy,0,100,10,Petrify,30,,,석화의 시선
Medusa,enemy_084,Snake Hair,Nature,Attack,Single_Enemy,170,95,8,Poison,30,,,뱀 머리 공격
Medusa,enemy_084,Gorgon Blood,None,Passive,Self,0,0,0,None,0,,Poison Resistance +50%,고르곤의 피
Veleda,enemy_085,Sacred Ritual,Holy,Buff,All_Allies,0,100,10,None,0,First Turn,MDF +2,신성한 의식
Veleda,enemy_085,Spirit Spear,Holy,Attack,Single_Enemy,180,100,9,None,0,,,정령의 창
Veleda,enemy_085,Oracle,None,Passive,Self,0,0,0,None,0,,Status Resistance +20%,예언자
Jinn,enemy_086,Desert Storm,Wind,Attack,All_Enemies,105,100,11,None,0,EnemyCount>=2,,모래폭풍
Jinn,enemy_086,Wish Flame,Fire,Attack,Single_Enemy,180,100,9,Burn,25,,,소원의 불꽃
Jinn,enemy_086,Wish Spirit,None,Passive,Self,0,0,0,None,0,,Fire Damage +20%,정령
Bellona,enemy_087,War Spear,Physical,Attack,Single_Enemy,185,95,10,None,0,,,전쟁의 창
Bellona,enemy_087,Battle Cry,Holy,Buff,All_Allies,0,100,10,None,0,First Turn,ATK +1 DEF +1,전쟁의 함성
Bellona,enemy_087,Goddess of War,None,Passive,Self,0,0,0,None,0,,Critical +10%,전쟁의 여신
Brigid,enemy_088,Holy Flame,Fire,Attack,Single_Enemy,185,100,9,Burn,30,,,성화
Brigid,enemy_088,Blessing Fire,Holy,Recovery,All_Allies,0,100,12,None,0,AllyHP<=60%,Heal 35%,축복의 불
Brigid,enemy_088,Eternal Flame,None,Passive,Self,0,0,0,None,0,,Burn Immune,영원의 불꽃
Ifrit,enemy_089,Inferno,Fire,Attack,All_Enemies,115,95,13,Burn,40,EnemyCount>=2,,지옥불
Ifrit,enemy_089,Flame Punch,Fire,Attack,Single_Enemy,190,95,9,None,0,,,화염 권
Ifrit,enemy_089,Flame Soul,None,Passive,Self,0,0,0,None,0,,Fire Damage +25%,불의 정령
Ceridwen,enemy_090,Cauldron Curse,Dark,Debuff,Single_Enemy,0,100,10,Confuse,35,,,마녀의 가마솥
Ceridwen,enemy_090,Arcane Blast,Holy,Attack,Single_Enemy,190,100,10,None,0,,,마력 폭발
Ceridwen,enemy_090,Witch Queen,None,Passive,Self,0,0,0,None,0,,MAT +15%,대마녀
Balrog,enemy_091,Hell Axe,Fire,Attack,Single_Enemy,200,90,10,Burn,30,,,지옥 도끼
Balrog,enemy_091,Demon Roar,Dark,Debuff,All_Enemies,0,100,10,Fear,30,,,악마의 포효
Balrog,enemy_091,Demon Lord,None,Passive,Self,0,0,0,None,0,,Fire Resistance +40%,마계의 장군
Medea,enemy_092,Dark Sorcery,Dark,Attack,Single_Enemy,195,100,10,None,0,,,흑마술
Medea,enemy_092,Hex,Dark,Debuff,Single_Enemy,0,100,10,Confuse,35,,,저주
Medea,enemy_092,Witchcraft,None,Passive,Self,0,0,0,None,0,,Dark Damage +20%,마녀의 지식
Belial,enemy_093,Hellfire,Fire,Attack,All_Enemies,120,95,14,Burn,35,EnemyCount>=2,,지옥의 불꽃
Belial,enemy_093,Dark Pact,Dark,Buff,Self,0,100,10,None,0,HP<=60%,MAT +2,암흑 계약
Belial,enemy_093,Demon King,None,Passive,Self,0,0,0,None,0,,Dark Resistance +30%,악마왕
Circe,enemy_094,Transform Curse,Dark,Debuff,Single_Enemy,0,100,10,Confuse,40,,,변이의 저주
Circe,enemy_094,Magic Bolt,Holy,Attack,Single_Enemy,200,100,10,None,0,,,마법 화살
Circe,enemy_094,Enchantress,None,Passive,Self,0,0,0,None,0,,Status Success +20%,마녀
Dracula,enemy_095,Vampire Lord,Dark,Attack,Single_Enemy,210,100,11,HPDrain,60,,,흡혈
Dracula,enemy_095,Nightmare,Dark,Debuff,All_Enemies,0,100,11,Fear,40,,,악몽
Dracula,enemy_095,True Immortal,None,Passive,Self,0,0,0,None,0,,Recover HP 5% each turn,진조
Baal,enemy_096,Thunderbolt,Lightning,Attack,All_Enemies,125,100,13,Paralyze,25,EnemyCount>=2,,천둥
Baal,enemy_096,Storm King,Holy,Buff,Self,0,100,10,None,0,First Turn,MAT +2,폭풍의 왕
Baal,enemy_096,Divine Thunder,None,Passive,Self,0,0,0,None,0,,Lightning Damage +25%,천둥의 신
Hecate,enemy_097,Moon Curse,Dark,Debuff,All_Enemies,0,100,11,Silence,35,,,달의 저주
Hecate,enemy_097,Moonlight,Holy,Attack,Single_Enemy,205,100,10,None,0,,,달빛
Hecate,enemy_097,Triple Goddess,None,Passive,Self,0,0,0,None,0,,Dark Resistance +30%,삼위일체 여신
Leviathan,enemy_098,Tidal Wave,Water,Attack,All_Enemies,130,95,14,None,0,EnemyCount>=2,,거대한 해일
Leviathan,enemy_098,Abyss Bite,Water,Attack,Single_Enemy,210,95,10,None,0,,,심연의 이빨
Leviathan,enemy_098,Sea King,None,Passive,Self,0,0,0,None,0,,Water Damage +25%,바다의 왕
Behemoth,enemy_099,Earthquake,Earth,Attack,All_Enemies,135,90,14,Stun,20,EnemyCount>=2,,대지진
Behemoth,enemy_099,Wild Charge,Physical,Attack,Single_Enemy,220,90,10,None,0,,,야수 돌격
Behemoth,enemy_099,Primal Beast,None,Passive,Self,0,0,0,None,0,,Max HP +25%,태고의 야수
Ziz,enemy_100,Hurricane Wing,Wind,Attack,All_Enemies,140,95,14,None,0,EnemyCount>=2,,폭풍을 일으키는 거대한 날갯짓
Ziz,enemy_100,Heavenly Beak,Wind,Attack,Single_Enemy,220,95,10,None,0,,,신조의 부리
Ziz,enemy_100,King of Birds,None,Passive,Self,0,0,0,None,0,,Wind Damage +25%,새들의 왕
Lilith,enemy_101,Temptation,Dark,Debuff,Single_Enemy,0,100,10,Charm,45,,,치명적인 유혹
Lilith,enemy_101,Dark Kiss,Dark,Attack,Single_Enemy,205,100,10,HPDrain,50,,,생명력을 흡수하는 입맞춤
Lilith,enemy_101,Queen of Night,None,Passive,Self,0,0,0,None,0,,Charm Success +20% Dark Damage +20%,밤의 여왕
Klingsor,enemy_102,Black Magic,Dark,Attack,Single_Enemy,220,100,11,None,0,,,사악한 흑마술
Klingsor,enemy_102,Corruption,Dark,Debuff,All_Enemies,0,100,12,Confuse,30,EnemyCount>=2,,타락의 주문
Klingsor,enemy_102,Evil Sage,None,Passive,Self,0,0,0,None,0,,MAT +15%,사악한 현자
Enkidu,enemy_103,Chain of Earth,Nature,Attack,Single_Enemy,215,95,10,Bind,30,,,대지의 사슬
Enkidu,enemy_103,Guardian Blow,Physical,Attack,Single_Enemy,225,90,10,None,0,,,수호자의 강타
Enkidu,enemy_103,Heroic Spirit,None,Passive,Self,0,0,0,None,0,,Physical Damage -15%,영웅의 혼
Atlas,enemy_104,Titan Crush,Physical,Attack,Single_Enemy,235,90,11,None,0,,,거인의 일격
Atlas,enemy_104,Mountain Toss,Nature,Attack,All_Enemies,145,90,14,None,0,EnemyCount>=2,,거대한 바위를 던진다
Atlas,enemy_104,Titan Body,None,Passive,Self,0,0,0,None,0,,Max HP +30%,티탄의 육체
Jormungand,enemy_105,World Serpent,Nature,Attack,All_Enemies,150,95,15,Poison,35,EnemyCount>=2,,세계를 감싸는 독
Jormungand,enemy_105,Doom Fang,Nature,Attack,Single_Enemy,235,95,11,Poison,40,,,종말의 송곳니
Jormungand,enemy_105,Endless Coil,None,Passive,Self,0,0,0,None,0,,Nature Damage +20% Poison Immune,끝없는 몸
Cuchulain,enemy_106,Gae Bolg,Physical,Attack,Single_Enemy,245,95,12,Bleed,40,,,필중의 마창
Cuchulain,enemy_106,Battle Frenzy,Holy,Buff,Self,0,100,8,None,0,HP<=50%,ATK +2 Critical +10%,전투광
Cuchulain,enemy_106,Hound of Ulster,None,Passive,Self,0,0,0,None,0,,Critical +15%,얼스터의 영웅
FionnmacCumhaill,enemy_107,Mac an Luin,Physical,Attack,Single_Enemy,240,95,11,None,0,,,전설의 마검
FionnmacCumhaill,enemy_107,Salmon Wisdom,Holy,Buff,Self,0,100,8,None,0,First Turn,MAT +2 MDF +2,지혜의 연어
FionnmacCumhaill,enemy_107,Legendary Hero,None,Passive,Self,0,0,0,None,0,,Accuracy +15%,전설의 영웅
GoldDragon,enemy_108,Golden Breath,Holy,Attack,All_Enemies,155,95,15,None,0,EnemyCount>=2,,황금의 숨결
GoldDragon,enemy_108,Dragon Claw,Physical,Attack,Single_Enemy,250,95,11,None,0,,,용의 발톱
GoldDragon,enemy_108,Golden Scales,None,Passive,Self,0,0,0,None,0,,Physical Damage -25% Holy Resistance +30%,황금 비늘
Roland,enemy_109,Holy Durandal,Holy,Attack,Single_Enemy,245,100,11,None,0,,,뒤랑달의 일격
Roland,enemy_109,Paladin Charge,Physical,Attack,Single_Enemy,230,95,10,None,0,,,성기사 돌격
Roland,enemy_109,Paladin's Honor,None,Passive,Self,0,0,0,None,0,,Holy Damage +20%,기사도의 화신
KingArthur,enemy_110,Excalibur,Holy,Attack,Single_Enemy,260,100,12,None,0,,,성검 엑스칼리버
KingArthur,enemy_110,Round Table,Holy,Buff,All_Allies,0,100,12,None,0,First Turn,ATK +1 DEF +1 ACC +1,원탁의 결속
KingArthur,enemy_110,King's Charisma,None,Passive,Self,0,0,0,None,0,,All Allies Damage +10%,왕의 카리스마
Valkyrie,enemy_111,Divine Spear,Holy,Attack,Single_Enemy,245,100,11,None,0,,,신창
Valkyrie,enemy_111,Judgement Wing,Wind,Attack,All_Enemies,150,100,14,None,0,EnemyCount>=2,,심판의 날개
Valkyrie,enemy_111,Chooser of the Slain,None,Passive,Self,0,0,0,None,0,,Holy Damage +20% Turn Speed +10%,전사의 인도자
Siegfried,enemy_112,Balmung,Physical,Attack,Single_Enemy,270,95,12,None,0,,,발뭉의 일격
Siegfried,enemy_112,Dragon Slayer,Holy,Attack,Single_Enemy,290,100,15,None,0,Target=Dragon,Damage x1.5,용살자
Siegfried,enemy_112,Hero's Body,None,Passive,Self,0,0,0,None,0,,Critical Resistance +30%,불사의 영웅
Freyja,enemy_113,Brisingamen,Holy,Attack,All_Enemies,155,100,14,Charm,25,EnemyCount>=2,,여신의 빛
Freyja,enemy_113,Goddess Blessing,Holy,Recovery,All_Allies,0,100,14,None,0,AllyHP<=50%,Heal 40%,여신의 축복
Freyja,enemy_113,Goddess of Love,None,Passive,Self,0,0,0,None,0,,Charm Resistance +50% Holy Damage +15%,사랑과 풍요의 여신
Siva,enemy_114,Tandava,Dark,Attack,All_Enemies,170,95,18,None,0,EnemyCount>=2,,우주의 파괴의 춤
Siva,enemy_114,Third Eye,Holy,Attack,Single_Enemy,280,100,12,None,0,,Ignore DEF,제3의 눈
Siva,enemy_114,Destroyer,None,Passive,Self,0,0,0,None,0,,All Damage +15%,파괴신
QitianDasheng,enemy_115,Ruyi Jingu Bang,Physical,Attack,Single_Enemy,280,100,12,None,0,,,여의봉 강타
QitianDasheng,enemy_115,72 Transformations,Holy,Buff,Self,0,100,10,None,0,HP<=60%,ATK +2 DEF +2 EVA +1,칠십이변
QitianDasheng,enemy_115,Great Sage,None,Passive,Self,0,0,0,None,0,,Status Resistance +30% Critical +10%,제천대성
Bellona,enemy_087,War Spear,Physical,Attack,Single_Enemy,185,95,10,None,0,,,전쟁의 창
Bellona,enemy_087,Battle Cry,Holy,Buff,All_Allies,0,100,10,None,0,First Turn,ATK +1 DEF +1,전쟁의 함성
Bellona,enemy_087,Goddess of War,None,Passive,Self,0,0,0,None,0,,Critical +10%,전쟁의 여신
,,,,,,,,,,,,,
Brigid,enemy_088,Holy Flame,Fire,Attack,Single_Enemy,185,100,9,Burn,30,,,성화
Brigid,enemy_088,Blessing Fire,Holy,Recovery,All_Allies,0,100,12,None,0,AllyHP<=60%,Heal 35%,축복의 불
Brigid,enemy_088,Eternal Flame,None,Passive,Self,0,0,0,None,0,,Burn Immune,영원의 불꽃
,,,,,,,,,,,,,
Ifrit,enemy_089,Inferno,Fire,Attack,All_Enemies,115,95,13,Burn,40,EnemyCount>=2,,지옥불
Ifrit,enemy_089,Flame Punch,Fire,Attack,Single_Enemy,190,95,9,None,0,,,화염 권
Ifrit,enemy_089,Flame Soul,None,Passive,Self,0,0,0,None,0,,Fire Damage +25%,불의 정령
,,,,,,,,,,,,,
Ceridwen,enemy_090,Cauldron Curse,Dark,Debuff,Single_Enemy,0,100,10,Confuse,35,,,마녀의 가마솥
Ceridwen,enemy_090,Arcane Blast,Holy,Attack,Single_Enemy,190,100,10,None,0,,,마력 폭발
Ceridwen,enemy_090,Witch Queen,None,Passive,Self,0,0,0,None,0,,MAT +15%,대마녀
Balrog,enemy_091,Hell Axe,Fire,Attack,Single_Enemy,200,90,10,Burn,30,,,지옥 도끼
Balrog,enemy_091,Demon Roar,Dark,Debuff,All_Enemies,0,100,10,Fear,30,,,악마의 포효
Balrog,enemy_091,Demon Lord,None,Passive,Self,0,0,0,None,0,,Fire Resistance +40%,마계의 장군
Medea,enemy_092,Dark Sorcery,Dark,Attack,Single_Enemy,195,100,10,None,0,,,흑마술
Medea,enemy_092,Hex,Dark,Debuff,Single_Enemy,0,100,10,Confuse,35,,,저주
Medea,enemy_092,Witchcraft,None,Passive,Self,0,0,0,None,0,,Dark Damage +20%,마녀의 지식
Belial,enemy_093,Hellfire,Fire,Attack,All_Enemies,120,95,14,Burn,35,EnemyCount>=2,,지옥의 불꽃
Belial,enemy_093,Dark Pact,Dark,Buff,Self,0,100,10,None,0,HP<=60%,MAT +2,암흑 계약
Belial,enemy_093,Demon King,None,Passive,Self,0,0,0,None,0,,Dark Resistance +30%,악마왕
Circe,enemy_094,Transform Curse,Dark,Debuff,Single_Enemy,0,100,10,Confuse,40,,,변이의 저주
Circe,enemy_094,Magic Bolt,Holy,Attack,Single_Enemy,200,100,10,None,0,,,마법 화살
Circe,enemy_094,Enchantress,None,Passive,Self,0,0,0,None,0,,Status Success +20%,마녀
Dracula,enemy_095,Vampire Lord,Dark,Attack,Single_Enemy,210,100,11,HPDrain,60,,,흡혈
Dracula,enemy_095,Nightmare,Dark,Debuff,All_Enemies,0,100,11,Fear,40,,,악몽
Dracula,enemy_095,True Immortal,None,Passive,Self,0,0,0,None,0,,Recover HP 5% each turn,진조
Baal,enemy_096,Thunderbolt,Lightning,Attack,All_Enemies,125,100,13,Paralyze,25,EnemyCount>=2,,천둥
Baal,enemy_096,Storm King,Holy,Buff,Self,0,100,10,None,0,First Turn,MAT +2,폭풍의 왕
Baal,enemy_096,Divine Thunder,None,Passive,Self,0,0,0,None,0,,Lightning Damage +25%,천둥의 신
Hecate,enemy_097,Moon Curse,Dark,Debuff,All_Enemies,0,100,11,Silence,35,,,달의 저주
Hecate,enemy_097,Moonlight,Holy,Attack,Single_Enemy,205,100,10,None,0,,,달빛
Hecate,enemy_097,Triple Goddess,None,Passive,Self,0,0,0,None,0,,Dark Resistance +30%,삼위일체 여신
Leviathan,enemy_098,Tidal Wave,Water,Attack,All_Enemies,130,95,14,None,0,EnemyCount>=2,,거대한 해일
Leviathan,enemy_098,Abyss Bite,Water,Attack,Single_Enemy,210,95,10,None,0,,,심연의 이빨
Leviathan,enemy_098,Sea King,None,Passive,Self,0,0,0,None,0,,Water Damage +25%,바다의 왕
Behemoth,enemy_099,Earthquake,Earth,Attack,All_Enemies,135,90,14,Stun,20,EnemyCount>=2,,대지진
Behemoth,enemy_099,Wild Charge,Physical,Attack,Single_Enemy,220,90,10,None,0,,,야수 돌격
Behemoth,enemy_099,Primal Beast,None,Passive,Self,0,0,0,None,0,,Max HP +25%,태고의 야수
Ziz,enemy_100,Hurricane Wing,Wind,Attack,All_Enemies,140,95,14,None,0,EnemyCount>=2,,폭풍을 일으키는 거대한 날갯짓
Ziz,enemy_100,Heavenly Beak,Wind,Attack,Single_Enemy,220,95,10,None,0,,,신조의 부리
Ziz,enemy_100,King of Birds,None,Passive,Self,0,0,0,None,0,,Wind Damage +25%,새들의 왕
Lilith,enemy_101,Temptation,Dark,Debuff,Single_Enemy,0,100,10,Charm,45,,,치명적인 유혹
Lilith,enemy_101,Dark Kiss,Dark,Attack,Single_Enemy,205,100,10,HPDrain,50,,,생명력을 흡수하는 입맞춤
Lilith,enemy_101,Queen of Night,None,Passive,Self,0,0,0,None,0,,Charm Success +20% Dark Damage +20%,밤의 여왕
Klingsor,enemy_102,Black Magic,Dark,Attack,Single_Enemy,220,100,11,None,0,,,사악한 흑마술
Klingsor,enemy_102,Corruption,Dark,Debuff,All_Enemies,0,100,12,Confuse,30,EnemyCount>=2,,타락의 주문
Klingsor,enemy_102,Evil Sage,None,Passive,Self,0,0,0,None,0,,MAT +15%,사악한 현자
Enkidu,enemy_103,Chain of Earth,Nature,Attack,Single_Enemy,215,95,10,Bind,30,,,대지의 사슬
Enkidu,enemy_103,Guardian Blow,Physical,Attack,Single_Enemy,225,90,10,None,0,,,수호자의 강타
Enkidu,enemy_103,Heroic Spirit,None,Passive,Self,0,0,0,None,0,,Physical Damage -15%,영웅의 혼
Atlas,enemy_104,Titan Crush,Physical,Attack,Single_Enemy,235,90,11,None,0,,,거인의 일격
Atlas,enemy_104,Mountain Toss,Nature,Attack,All_Enemies,145,90,14,None,0,EnemyCount>=2,,거대한 바위를 던진다
Atlas,enemy_104,Titan Body,None,Passive,Self,0,0,0,None,0,,Max HP +30%,티탄의 육체
Jormungand,enemy_105,World Serpent,Nature,Attack,All_Enemies,150,95,15,Poison,35,EnemyCount>=2,,세계를 감싸는 독
Jormungand,enemy_105,Doom Fang,Nature,Attack,Single_Enemy,235,95,11,Poison,40,,,종말의 송곳니
Jormungand,enemy_105,Endless Coil,None,Passive,Self,0,0,0,None,0,,Nature Damage +20% Poison Immune,끝없는 몸
Cuchulain,enemy_106,Gae Bolg,Physical,Attack,Single_Enemy,245,95,12,Bleed,40,,,필중의 마창
Cuchulain,enemy_106,Battle Frenzy,Holy,Buff,Self,0,100,8,None,0,HP<=50%,ATK +2 Critical +10%,전투광
Cuchulain,enemy_106,Hound of Ulster,None,Passive,Self,0,0,0,None,0,,Critical +15%,얼스터의 영웅
FionnmacCumhaill,enemy_107,Mac an Luin,Physical,Attack,Single_Enemy,240,95,11,None,0,,,전설의 마검
FionnmacCumhaill,enemy_107,Salmon Wisdom,Holy,Buff,Self,0,100,8,None,0,First Turn,MAT +2 MDF +2,지혜의 연어
FionnmacCumhaill,enemy_107,Legendary Hero,None,Passive,Self,0,0,0,None,0,,Accuracy +15%,전설의 영웅
GoldDragon,enemy_108,Golden Breath,Holy,Attack,All_Enemies,155,95,15,None,0,EnemyCount>=2,,황금의 숨결
GoldDragon,enemy_108,Dragon Claw,Physical,Attack,Single_Enemy,250,95,11,None,0,,,용의 발톱
GoldDragon,enemy_108,Golden Scales,None,Passive,Self,0,0,0,None,0,,Physical Damage -25% Holy Resistance +30%,황금 비늘
Roland,enemy_109,Holy Durandal,Holy,Attack,Single_Enemy,245,100,11,None,0,,,뒤랑달의 일격
Roland,enemy_109,Paladin Charge,Physical,Attack,Single_Enemy,230,95,10,None,0,,,성기사 돌격
Roland,enemy_109,Paladin's Honor,None,Passive,Self,0,0,0,None,0,,Holy Damage +20%,기사도의 화신
KingArthur,enemy_110,Excalibur,Holy,Attack,Single_Enemy,260,100,12,None,0,,,성검 엑스칼리버
KingArthur,enemy_110,Round Table,Holy,Buff,All_Allies,0,100,12,None,0,First Turn,ATK +1 DEF +1 ACC +1,원탁의 결속
KingArthur,enemy_110,King's Charisma,None,Passive,Self,0,0,0,None,0,,All Allies Damage +10%,왕의 카리스마
Valkyrie,enemy_111,Divine Spear,Holy,Attack,Single_Enemy,245,100,11,None,0,,,신창
Valkyrie,enemy_111,Judgement Wing,Wind,Attack,All_Enemies,150,100,14,None,0,EnemyCount>=2,,심판의 날개
Valkyrie,enemy_111,Chooser of the Slain,None,Passive,Self,0,0,0,None,0,,Holy Damage +20% Turn Speed +10%,전사의 인도자
Siegfried,enemy_112,Balmung,Physical,Attack,Single_Enemy,270,95,12,None,0,,,발뭉의 일격
Siegfried,enemy_112,Dragon Slayer,Holy,Attack,Single_Enemy,290,100,15,None,0,Target=Dragon,Damage x1.5,용살자
Siegfried,enemy_112,Hero's Body,None,Passive,Self,0,0,0,None,0,,Critical Resistance +30%,불사의 영웅
Freyja,enemy_113,Brisingamen,Holy,Attack,All_Enemies,155,100,14,Charm,25,EnemyCount>=2,,여신의 빛
Freyja,enemy_113,Goddess Blessing,Holy,Recovery,All_Allies,0,100,14,None,0,AllyHP<=50%,Heal 40%,여신의 축복
Freyja,enemy_113,Goddess of Love,None,Passive,Self,0,0,0,None,0,,Charm Resistance +50% Holy Damage +15%,사랑과 풍요의 여신
Siva,enemy_114,Tandava,Dark,Attack,All_Enemies,170,95,18,None,0,EnemyCount>=2,,우주의 파괴의 춤
Siva,enemy_114,Third Eye,Holy,Attack,Single_Enemy,280,100,12,None,0,,Ignore DEF,제3의 눈
Siva,enemy_114,Destroyer,None,Passive,Self,0,0,0,None,0,,All Damage +15%,파괴신
QitianDasheng,enemy_115,Ruyi Jingu Bang,Physical,Attack,Single_Enemy,280,100,12,None,0,,,여의봉 강타
QitianDasheng,enemy_115,72 Transformations,Holy,Buff,Self,0,100,10,None,0,HP<=60%,ATK +2 DEF +2 EVA +1,칠십이변
QitianDasheng,enemy_115,Great Sage,None,Passive,Self,0,0,0,None,0,,Status Resistance +30% Critical +10%,제천대성
